code,barcode2,name,unit
4895151527560,,ปากกาชาร์ปี้อัลตร้าไฟน์ สีน้ำเงิน *6ด,กล่อง
4746822019,,สมุดตารางจีน กลาง SAENGROONG 20แผ่น AA9/20BD (24เล่ม/แพ็ค),แพ็ค
28851907201016,,มาสเตอร์อาร์ตดินสอ2หัว12สีรุ่นมาสเตอร์ซี่รีย์*12,โหล
4746617863,8859196111432,เทปผ้า Armstrong 36mmx8 สีชมพู*8,แพ็ค
FAH64006970,4742603,ดินน้ำมัน หมีแพนด้า 90g. คละสี (6แพ็ค/ลัง),ลัง
18851907030923,,พู่กัน Master Art จิตรกรน้อย กลม เบอร์ 4 10ด้าม/แพ็ค,แพ็ค
47465015698,,ซองซิปสี A6 RL-2037*12pcs,แพ็ค
6941025199994,,ปากกาหมึกน้ำมันA6 น้ำเงิน0.7 *40ด,กระปุก
47465014804,8801067092258,ปากกาเน้นข้อความ คัลเลอร์ฟูล สีเขียว07*12pcs,กล่อง
47464012089,072512167205,ไส้ปากกา Pentel 1.0มม. LR10-CX น้ำเงิน (12ชิ้น/กล่อง),กล่อง
4007817832516,,ปากกามาร์เกอร์ เมเทลิค แดง *10,กล่อง
8851907278304,,ควอนตั้มปากกาเจลลูลอยด์ โลลี่ป๊อบ0.5 นง. *50ด,กระปุก
FAH64001491,4742141,คัตเตอร์ ORCA JUMBO A C-SJ (6ชิ้น/กล่อง),แผง
4741797,,สมุดโน๊ตปกแข็ง DO-206-001X *6ล,แพ็ค
47465014215,8851907254926,ปากกาลูกลื่น ควอนตั้ม SKATE 222 DUO 0.5มม. RED/BLUE (50ด้าม/กระบอก),กระบอก
6941682686004,,ปากกาลูกลื่น L&P LP100 0.5mm. แดง (12ด้าม/กล่อง),กล่อง
28851907271996,,ปากกาลบคำผิด7มล.มาเมะโกมะ *12ช,กล่อง
9555684674043,,ปากกาเน้นข้อความเฟเบอร์สลิม เขียวพาสเทล *10ด,กล่อง
4715419812972,,เทปลบคำผิดโปรไลน์ faster C649 *12ช,กล่อง
4746719999,8851354893358,ปากกาเน้นข้อความ SOFTY AL-303 PINK (10ด้าม/กล่อง),กล่อง
FAH64001614,4743758,ซองขาว*7/125*ถุงแก้ว*(1*500),กล่อง
4741825,,สมุดโน็ตปกแข็งDP901 *6ล,แพ็ค
47466017029,8809331232515,ปากกาลูกลื่น Faster CX321 0.7 TRIPLETS (12ด้าม/กล่อง),กล่อง
FAH64001181,4711734920408,ลวดเย็บกระดาษSDI 24/6 1204 *10ก,แพ็ค
8809331231280,,ปากกาลูกลื่นoxford0.38 FASTER CX915 ฟ้า (12ด้าม/กล่อง),กล่อง
47465014337,8854888004108,ปากกาลูกลื่นนง.Maples*MP919B*50ด้าม,กระปุก
47464012567,18858121000220,ใบมีดคัตเตอร์ MESA B-150 60องศา ใบใหญ่ (10หลอด/กล่อง),กล่อง
47466016885,,DM ถุงกระดาษสีน้ำตาลมีหูหิ้ว Size M *50,แพ็ค
FAH64000984,30051135208299,กรรไกร 3M 6นิ้ว CAT.1406 (6ชิ้น/กล่อง),กล่อง
FAH64000899,16921734900156,ลวดเย็บกระดาษ deli 23/10 No.0015 (10กล่อง/แพ็ค),แพ็ค
47465013590,6923655585545,ไส้ดินสอกดfaster 2B 0.5 MCL2B-01*12ช,กล่อง
6947503730253,,ปากกาหมึกเจลสีแดง GP1008C *12,กล่อง
4746617629,8850172440409,ไหมพรมG-5002-2/40กรัม สีเหลือง*12,แพ็ค
47465013586,,ไม้บรรทัด HAWK PVC 12นิ้ว HK-PVC30 (12ชิ้น/แพ็ค),แพ็ค
47465013702,8935001874126,ปากกาเคมี2หัว Flexoffice FO-PM01 สีดำ (12ด้าม/กล่อง),กล่อง
4746617276,,กระดาษห่อเหรียญโปรยทาน คละสี *10ห่อ,แพ็ค
